Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,experimental_class_type,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,regime,ReleaseDate,Sample Name,source_name,SRA Study,treatment
SRR13535276,RNA-Seq,300,8225466000,PRJNA694971,SAMN17588686,3252113587,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9943360,A,GSM5043430,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,in space without gravity,2021-09-09T00:00:00Z,GSM5043430,C2C12 proliferating myoblasts,SRP303354,without nanoceria
SRR13535277,miRNA-Seq,100,1580194800,PRJNA694971,SAMN17588685,576609801,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9943361,A,GSM5043431,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,in space without gravity,2021-09-09T00:00:00Z,GSM5043431,C2C12 proliferating myoblasts,SRP303354,without nanoceria
SRR13535278,RNA-Seq,300,9203426700,PRJNA694971,SAMN17588684,3619152333,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9943362,A,GSM5043433,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,in space without gravity,2021-09-09T00:00:00Z,GSM5043433,C2C12 proliferating myoblasts,SRP303354,without nanoceria
SRR13535279,miRNA-Seq,100,1685929600,PRJNA694971,SAMN17588683,604215024,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9943363,A,GSM5043435,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,in space without gravity,2021-09-09T00:00:00Z,GSM5043435,C2C12 proliferating myoblasts,SRP303354,without nanoceria
SRR13535280,RNA-Seq,300,9323939700,PRJNA694971,SAMN17588682,3735905901,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9943364,A,GSM5043436,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,in space without gravity,2021-09-09T00:00:00Z,GSM5043436,C2C12 proliferating myoblasts,SRP303354,without nanoceria
SRR13535281,miRNA-Seq,100,1617659500,PRJNA694971,SAMN17588681,590974746,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9943365,A,GSM5043438,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,in space without gravity,2021-09-09T00:00:00Z,GSM5043438,C2C12 proliferating myoblasts,SRP303354,without nanoceria
SRR13535282,RNA-Seq,300,8393096700,PRJNA694971,SAMN17587379,3329222139,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9943366,B,GSM5043440,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,in space without gravity,2021-09-09T00:00:00Z,GSM5043440,C2C12 proliferating myoblasts,SRP303354,with nanoceria
SRR13535283,miRNA-Seq,100,1727560200,PRJNA694971,SAMN17587378,626662113,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9943367,B,GSM5043442,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,in space without gravity,2021-09-09T00:00:00Z,GSM5043442,C2C12 proliferating myoblasts,SRP303354,with nanoceria
SRR13535284,RNA-Seq,300,4991079000,PRJNA694971,SAMN17587377,1982132044,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9943368,B,GSM5043443,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,in space without gravity,2021-09-09T00:00:00Z,GSM5043443,C2C12 proliferating myoblasts,SRP303354,with nanoceria
SRR13535285,miRNA-Seq,100,1753128700,PRJNA694971,SAMN17587376,634565885,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9943369,B,GSM5043445,Illumina HiSeq 2500,PAIRED,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,in space without gravity,2021-09-09T00:00:00Z,GSM5043445,C2C12 proliferating myoblasts,SRP303354,with nanoceria
