"","SRR13535277","SRR13535279","SRR13535281","SRR13535283","SRR13535285","SRR13535287","SRR13535289","SRR13535291","SRR13535293","SRR13535295","SRR13535297","SRR13535299","SRR13535301","SRR13535303","SRR13535305","SRR13535307","SRR13535309","SRR13535311"
"mmu-let-7a-1-3p",71,276,32,109,122,39,74,158,29,213,19,16,0,1,27,89,108,381
"mmu-let-7a-5p",844,4830,609,477,2290,1895,1218,6518,4241,1942,9,398,4018,432,399,1015,3399,5013
"mmu-let-7b-3p",63,359,105,104,183,77,181,361,137,292,15,40,0,0,29,98,53,191
"mmu-let-7b-5p",192,2786,142,580,953,562,667,3443,3844,726,6,219,1377,296,373,230,693,1371
"mmu-let-7c-1-3p",0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
"mmu-let-7c-2-3p",71,276,32,109,122,39,74,158,29,213,19,16,0,1,27,89,108,381
"mmu-let-7c-5p",1088,10500,755,1223,4485,2397,2406,14929,13393,3145,28,1098,11751,1729,1359,1483,6922,10682
"mmu-let-7d-3p",362,2540,585,590,1258,559,1285,2398,1602,1811,35,204,643,4,213,501,412,2331
"mmu-let-7d-5p",447,2728,147,185,1759,885,1051,3452,2199,2610,12,244,98,70,52,63,212,443
"mmu-let-7e-3p",9,131,50,50,23,9,32,17,17,49,0,4,0,0,4,23,44,336
"mmu-let-7e-5p",386,3380,358,342,1264,856,859,3019,3420,1329,5,237,2107,232,167,612,2334,2344
"mmu-let-7f-1-3p",0,22,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0
"mmu-let-7f-2-3p",0,11,0,0,14,28,8,13,5,23,3,1,0,0,0,0,0,0
"mmu-let-7f-5p",2638,20281,1964,1983,10876,4832,5779,20882,6741,13261,79,1280,15092,1492,1807,5573,25816,43431
"mmu-let-7g-3p",3,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"mmu-let-7g-5p",209,1892,185,151,1180,413,723,1462,552,1213,9,138,919,84,114,209,519,1317
"mmu-let-7i-3p",0,33,0,9,12,9,6,30,3,14,0,0,0,0,2,0,57,0
"mmu-let-7i-5p",1602,10652,689,1210,8886,3212,4488,14247,4907,11729,57,1406,15210,2939,1119,2866,20827,42803
"mmu-let-7j",487,2448,221,379,1594,801,1174,2135,938,2898,17,312,2233,661,279,667,3123,6767
"mmu-miR-100-3p",5,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"mmu-miR-100-5p",1829,29347,3382,4458,11772,3251,9083,13335,11670,17892,698,938,22192,2021,1882,5159,18853,45604
"mmu-miR-101a-3p",305,1847,220,340,1046,519,677,1921,191,3186,57,151,969,269,233,1975,3136,8351
"mmu-miR-101a-5p",0,4,0,0,0,11,5,20,0,0,1,0,0,0,0,0,0,0
"mmu-miR-101b-3p",107,664,108,161,455,167,256,507,67,661,26,40,148,1,113,463,801,3766
"mmu-miR-101c",0,5,0,11,3,0,3,5,6,10,0,0,0,0,1,1,42,3
"mmu-miR-103-3p",433,2327,243,349,1903,826,1318,1772,1059,2599,71,207,3029,286,299,1309,4910,11844
"mmu-miR-106b-3p",28,196,7,6,127,45,107,206,78,149,8,9,84,0,8,32,78,181
"mmu-miR-106b-5p",7,105,19,19,65,16,47,133,7,118,4,2,1,44,9,0,0,220
"mmu-miR-107-3p",87,432,35,22,631,244,258,527,325,454,2,32,545,81,33,214,2175,1913
"mmu-miR-107-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
"mmu-miR-10a-5p",76,197,42,120,406,82,194,92,477,338,10,22,0,205,44,418,1208,2669
"mmu-miR-10b-5p",140,546,245,343,968,325,390,183,1430,483,34,92,7149,3080,290,3477,17042,50550
"mmu-miR-1191a",0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-1191b-5p",0,14,4,0,2,14,18,4,4,42,4,0,0,0,0,0,0,107
"mmu-miR-1194",2,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-1195",4,7,2,0,23,4,0,0,21,0,0,0,0,0,0,0,0,0
"mmu-miR-1198-5p",2,118,4,23,27,16,49,57,153,34,3,5,0,91,17,2,50,0
"mmu-miR-1199-3p",0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,77
"mmu-miR-1199-5p",0,4,0,0,7,0,0,0,1,16,0,1,0,0,1,3,0,0
"mmu-miR-122-5p",0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0
"mmu-miR-1231-3p",0,0,0,0,0,11,0,7,9,7,0,0,0,0,0,0,0,0
"mmu-miR-1231-5p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
