"","SRR13535277","SRR13535279","SRR13535281","SRR13535283","SRR13535285","SRR13535287","SRR13535289","SRR13535291","SRR13535293","SRR13535295","SRR13535297","SRR13535299","SRR13535301","SRR13535303","SRR13535305","SRR13535307","SRR13535309","SRR13535311"
"mmu-let-7a-5p",854,4710,595,497,2308,1826,1224,6576,4220,1964,11,360,4061,439,405,1026,3376,4925
"mmu-let-7a-1-3p",72,282,32,111,124,40,76,159,29,216,20,17,0,1,27,91,108,387
"mmu-let-7b-5p",195,2815,143,587,961,568,680,3485,3892,742,6,221,1397,302,377,230,701,1390
"mmu-let-7b-3p",64,363,107,105,187,78,187,365,139,294,15,41,0,0,29,98,53,193
"mmu-let-7c-5p",1100,10627,763,1240,4543,2433,2440,15082,13561,3171,32,1111,11903,1759,1374,1499,6995,10799
"mmu-let-7c-1-3p",0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
"mmu-let-7c-2-3p",72,282,32,111,124,40,76,159,29,216,20,17,0,1,27,91,108,387
"mmu-let-7d-3p",370,2571,593,601,1275,571,1304,2431,1621,1830,37,211,647,4,214,509,415,2353
"mmu-let-7d-5p",452,2766,149,190,1773,895,1063,3490,2241,2636,12,245,98,70,54,63,212,448
"mmu-let-7e-5p",391,3408,360,347,1282,865,871,3060,3459,1344,6,242,2122,236,169,618,2371,2369
"mmu-let-7e-3p",9,132,51,50,23,9,32,17,17,50,0,4,0,0,4,24,44,342
"mmu-let-7f-5p",2428,19191,1760,1749,10191,4400,5428,19859,6200,12520,74,1098,13822,988,1587,5347,24677,37886
"mmu-let-7f-1-3p",0,22,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0
"mmu-let-7f-2-3p",0,11,0,0,15,28,8,13,5,23,3,1,0,0,0,0,0,0
"mmu-let-7g-5p",214,1916,188,152,1196,419,729,1479,562,1227,9,139,927,85,115,214,525,1332
"mmu-let-7g-3p",3,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"mmu-let-7i-5p",1624,10761,702,1238,8970,3243,4530,14407,4960,11870,62,1421,15372,2981,1140,2908,21051,43203
"mmu-let-7i-3p",0,33,0,9,12,9,6,30,3,14,0,0,0,0,2,0,57,0
"mmu-let-7j",494,2481,226,386,1609,806,1182,2157,951,2928,18,321,2253,668,290,676,3162,6852
"mmu-miR-100-5p",1863,29713,3430,4516,11914,3324,9176,13506,11831,18115,715,951,22412,2047,1905,5224,19088,46116
"mmu-miR-100-3p",6,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"mmu-miR-101a-3p",311,1870,223,345,1057,527,682,1936,193,3217,59,155,986,274,233,1989,3164,8430
"mmu-miR-101a-5p",0,5,0,0,0,11,5,20,0,0,1,0,0,0,0,0,0,0
"mmu-miR-101b-3p",109,670,109,161,458,169,260,513,67,671,28,43,148,1,114,470,807,3805
"mmu-miR-101c",0,5,0,11,3,0,3,5,6,10,0,0,0,0,1,1,42,3
"mmu-miR-103-3p",426,2320,211,354,1911,790,1296,1781,1030,2602,74,212,3065,291,299,1329,4961,11479
"mmu-miR-106b-3p",29,197,7,6,130,46,107,206,78,150,8,9,86,0,8,32,80,182
"mmu-miR-106b-5p",7,106,19,19,65,16,47,135,7,122,4,2,1,44,9,0,0,223
"mmu-miR-107-3p",89,432,35,22,636,244,260,531,329,457,2,33,550,83,33,218,2198,1936
"mmu-miR-107-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
"mmu-miR-10a-5p",77,200,42,121,412,83,195,94,484,345,10,22,0,207,44,420,1219,2696
"mmu-miR-10b-5p",144,552,248,353,977,332,395,186,1450,487,36,93,7219,3110,293,3517,17216,51026
"mmu-miR-1191a",0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-1191b-5p",0,14,4,0,3,14,18,4,4,42,4,0,0,0,0,0,0,109
"mmu-miR-1194",2,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-1195",4,7,2,0,23,4,0,0,21,0,0,0,0,0,0,0,0,0
"mmu-miR-1198-5p",2,118,4,23,28,16,49,57,153,34,3,5,0,93,17,2,52,0
"mmu-miR-1199-3p",0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,77
"mmu-miR-1199-5p",0,4,0,0,7,0,0,0,1,16,0,1,0,0,1,3,0,0
"mmu-miR-12180-3p",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-12185-3p",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
