## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/chan/diabetes_mellitus/outputs/picard/SRR15202009_sorted.bam] OUTPUT=/home/chan/diabetes_mellitus/outputs/picard/SRR15202009_deduped.bam METRICS_FILE=/home/chan/diabetes_mellitus/outputs/picard/SRR15202009_deduped.log REMOVE_DUPLICATES=true ASSUME_SORT_ORDER=coordinate TMP_DIR=[/home/chan/diabetes_mellitus/tmp] CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Nov 20 19:38:20 PST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	63228	21752657	5085949	0	50230	8919861	0	0.410616	18626138

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	9528726	9528726
2.0	1.311033	2193599	2193599
3.0	1.407774	538181	538181
4.0	1.437864	192177	192177
5.0	1.447223	96181	96181
6.0	1.450134	58672	58672
7.0	1.451039	39829	39829
8.0	1.451321	28514	28514
9.0	1.451409	21389	21389
10.0	1.451436	16751	16751
11.0	1.451444	13561	13561
12.0	1.451447	10905	10905
13.0	1.451448	9105	9105
14.0	1.451448	7763	7763
15.0	1.451448	6543	6543
16.0	1.451448	5691	5691
17.0	1.451448	4858	4858
18.0	1.451448	4284	4284
19.0	1.451448	3742	3742
20.0	1.451448	3483	3483
21.0	1.451448	3010	3010
22.0	1.451448	2741	2741
23.0	1.451448	2465	2465
24.0	1.451448	2283	2283
25.0	1.451448	1980	1980
26.0	1.451448	1866	1866
27.0	1.451448	1720	1720
28.0	1.451448	1536	1536
29.0	1.451448	1436	1436
30.0	1.451448	1333	1333
31.0	1.451448	1237	1237
32.0	1.451448	1182	1182
33.0	1.451448	1006	1006
34.0	1.451448	1041	1041
35.0	1.451448	867	867
36.0	1.451448	863	863
37.0	1.451448	815	815
38.0	1.451448	792	792
39.0	1.451448	676	676
40.0	1.451448	695	695
41.0	1.451448	671	671
42.0	1.451448	595	595
43.0	1.451448	577	577
44.0	1.451448	519	519
45.0	1.451448	558	558
46.0	1.451448	489	489
47.0	1.451448	487	487
48.0	1.451448	455	455
49.0	1.451448	418	418
50.0	1.451448	413	413
51.0	1.451448	385	385
52.0	1.451448	379	379
53.0	1.451448	367	367
54.0	1.451448	339	339
55.0	1.451448	344	344
56.0	1.451448	305	305
57.0	1.451448	267	267
58.0	1.451448	302	302
59.0	1.451448	281	281
60.0	1.451448	244	244
61.0	1.451448	262	262
62.0	1.451448	233	233
63.0	1.451448	242	242
64.0	1.451448	233	233
65.0	1.451448	221	221
66.0	1.451448	211	211
67.0	1.451448	210	210
68.0	1.451448	211	211
69.0	1.451448	180	180
70.0	1.451448	182	182
71.0	1.451448	166	166
72.0	1.451448	176	176
73.0	1.451448	173	173
74.0	1.451448	150	150
75.0	1.451448	149	149
76.0	1.451448	165	165
77.0	1.451448	167	167
78.0	1.451448	153	153
79.0	1.451448	146	146
80.0	1.451448	149	149
81.0	1.451448	146	146
82.0	1.451448	136	136
83.0	1.451448	110	110
84.0	1.451448	138	138
85.0	1.451448	134	134
86.0	1.451448	127	127
87.0	1.451448	129	129
88.0	1.451448	99	99
89.0	1.451448	99	99
90.0	1.451448	127	127
91.0	1.451448	97	97
92.0	1.451448	112	112
93.0	1.451448	104	104
94.0	1.451448	103	103
95.0	1.451448	90	90
96.0	1.451448	93	93
97.0	1.451448	77	77
98.0	1.451448	93	93
99.0	1.451448	77	77
100.0	1.451448	96	96
101.0	0	92	92
102.0	0	90	90
103.0	0	70	70
104.0	0	77	77
105.0	0	75	75
106.0	0	68	68
107.0	0	67	67
108.0	0	66	66
109.0	0	63	63
110.0	0	66	66
111.0	0	75	75
112.0	0	58	58
113.0	0	61	61
114.0	0	70	70
115.0	0	65	65
116.0	0	65	65
117.0	0	45	45
118.0	0	53	53
119.0	0	50	50
120.0	0	49	49
121.0	0	45	45
122.0	0	48	48
123.0	0	56	56
124.0	0	48	48
125.0	0	44	44
126.0	0	40	40
127.0	0	40	40
128.0	0	45	45
129.0	0	44	44
130.0	0	40	40
131.0	0	39	39
132.0	0	41	41
133.0	0	40	40
134.0	0	45	45
135.0	0	52	52
136.0	0	35	35
137.0	0	41	41
138.0	0	33	33
139.0	0	41	41
140.0	0	39	39
141.0	0	40	40
142.0	0	29	29
143.0	0	39	39
144.0	0	22	22
145.0	0	33	33
146.0	0	31	31
147.0	0	31	31
148.0	0	41	41
149.0	0	30	30
150.0	0	20	20
151.0	0	29	29
152.0	0	27	27
153.0	0	26	26
154.0	0	29	29
155.0	0	27	27
156.0	0	27	27
157.0	0	29	29
158.0	0	33	33
159.0	0	30	30
160.0	0	17	17
161.0	0	18	18
162.0	0	20	20
163.0	0	18	18
164.0	0	32	32
165.0	0	17	17
166.0	0	19	19
167.0	0	24	24
168.0	0	23	23
169.0	0	22	22
170.0	0	22	22
171.0	0	18	18
172.0	0	22	22
173.0	0	20	20
174.0	0	22	22
175.0	0	33	33
176.0	0	15	15
177.0	0	16	16
178.0	0	20	20
179.0	0	16	16
180.0	0	9	9
181.0	0	18	18
182.0	0	18	18
183.0	0	16	16
184.0	0	18	18
185.0	0	16	16
186.0	0	12	12
187.0	0	23	23
188.0	0	20	20
189.0	0	15	15
190.0	0	17	17
191.0	0	16	16
192.0	0	14	14
193.0	0	19	19
194.0	0	11	11
195.0	0	10	10
196.0	0	10	10
197.0	0	12	12
198.0	0	18	18
199.0	0	14	14
200.0	0	15	15
201.0	0	8	8
202.0	0	8	8
203.0	0	13	13
204.0	0	10	10
205.0	0	11	11
206.0	0	10	10
207.0	0	15	15
208.0	0	5	5
209.0	0	14	14
210.0	0	8	8
211.0	0	10	10
212.0	0	11	11
213.0	0	14	14
214.0	0	19	19
215.0	0	9	9
216.0	0	8	8
217.0	0	14	14
218.0	0	12	12
219.0	0	6	6
