## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/chan/mice_microgravity/outputs_primary/picard/SRR13535288_sorted.bam] OUTPUT=/home/chan/mice_microgravity/outputs_primary/picard/SRR13535288_deduped.bam METRICS_FILE=/home/chan/mice_microgravity/outputs_primary/picard/SRR13535288_deduped.log REMOVE_DUPLICATES=true ASSUME_SORT_ORDER=coordinate TMP_DIR=[/home/chan/mice_microgravity/tmp] CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 21 14:44:59 PST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	610556	29795268	12875723	0	554034	18387137	0	0.62006	12588659

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	8072602	8072602
2.0	1.093777	2004073	2004073
3.0	1.102571	583135	583135
4.0	1.103396	224210	224210
5.0	1.103473	114593	114593
6.0	1.103481	70281	70281
7.0	1.103481	48035	48035
8.0	1.103481	35027	35027
9.0	1.103481	27224	27224
10.0	1.103481	21220	21220
11.0	1.103481	17569	17569
12.0	1.103481	14403	14403
13.0	1.103481	12350	12350
14.0	1.103481	10645	10645
15.0	1.103481	9313	9313
16.0	1.103481	8155	8155
17.0	1.103481	7005	7005
18.0	1.103481	6411	6411
19.0	1.103481	5778	5778
20.0	1.103481	5220	5220
21.0	1.103481	4828	4828
22.0	1.103481	4290	4290
23.0	1.103481	4004	4004
24.0	1.103481	3710	3710
25.0	1.103481	3336	3336
26.0	1.103481	3123	3123
27.0	1.103481	2921	2921
28.0	1.103481	2664	2664
29.0	1.103481	2562	2562
30.0	1.103481	2370	2370
31.0	1.103481	2304	2304
32.0	1.103481	2129	2129
33.0	1.103481	2018	2018
34.0	1.103481	1992	1992
35.0	1.103481	1813	1813
36.0	1.103481	1670	1670
37.0	1.103481	1591	1591
38.0	1.103481	1587	1587
39.0	1.103481	1495	1495
40.0	1.103481	1383	1383
41.0	1.103481	1372	1372
42.0	1.103481	1260	1260
43.0	1.103481	1202	1202
44.0	1.103481	1244	1244
45.0	1.103481	1122	1122
46.0	1.103481	1073	1073
47.0	1.103481	1057	1057
48.0	1.103481	995	995
49.0	1.103481	965	965
50.0	1.103481	916	916
51.0	1.103481	925	925
52.0	1.103481	834	834
53.0	1.103481	833	833
54.0	1.103481	814	814
55.0	1.103481	732	732
56.0	1.103481	786	786
57.0	1.103481	730	730
58.0	1.103481	740	740
59.0	1.103481	712	712
60.0	1.103481	678	678
61.0	1.103481	603	603
62.0	1.103481	644	644
63.0	1.103481	629	629
64.0	1.103481	568	568
65.0	1.103481	555	555
66.0	1.103481	619	619
67.0	1.103481	515	515
68.0	1.103481	558	558
69.0	1.103481	522	522
70.0	1.103481	499	499
71.0	1.103481	483	483
72.0	1.103481	460	460
73.0	1.103481	476	476
74.0	1.103481	432	432
75.0	1.103481	453	453
76.0	1.103481	468	468
77.0	1.103481	425	425
78.0	1.103481	365	365
79.0	1.103481	417	417
80.0	1.103481	385	385
81.0	1.103481	358	358
82.0	1.103481	365	365
83.0	1.103481	394	394
84.0	1.103481	382	382
85.0	1.103481	344	344
86.0	1.103481	342	342
87.0	1.103481	355	355
88.0	1.103481	388	388
89.0	1.103481	328	328
90.0	1.103481	317	317
91.0	1.103481	327	327
92.0	1.103481	316	316
